report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-09-30,2025三季报,2025-3,2025三季度,index_per_operating_cash_flow_net,0.3019,0.2808,-0.40524035,-0.33991537,-0.55150934
2025-09-30,2025三季报,2025-3,2025三季度,deduct_net_profit_yoy_growth_ratio,60.9244,32.6494,1.45221899,-0.59979554,-0.17279837
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,3678821025.93,984040202.6000,0.39183853,-0.40588692,0.09279633
2025-09-30,2025三季报,2025-3,2025三季度,calc_per_net_assets,6.023,,0.09513073,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_ratio,3.5494,,0.08163949,,
2025-09-30,2025三季报,2025-3,2025三季度,conservative_quick_ratio,0.544,,-0.09393738,,
2025-09-30,2025三季报,2025-3,2025三季度,equity_ratio,0.9823,,0.10956738,,
2025-09-30,2025三季报,2025-3,2025三季度,current_ratio,1.3187,,-0.12876586,,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,0.76,0.2030,0.38181818,-0.40591162,0.09257266
2025-09-30,2025三季报,2025-3,2025三季度,business_cycle,76.914,,-0.07920067,,
2025-09-30,2025三季报,2025-3,2025三季度,receive_accounts_turnover_days,0.8448,,-0.32426812,,
2025-09-30,2025三季报,2025-3,2025三季度,quick_ratio,0.544,,-0.09393738,,
2025-09-30,2025三季报,2025-3,2025三季度,sale_gross_margin,17.4398,15.2251,0.13251338,-0.14915055,0.12335003
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,76.0692,,-0.07547697,,
2025-09-30,2025三季报,2025-3,2025三季度,calculate_operating_income_total_yoy_growth_ratio,17.225109,7.97279000,15.01401694,-0.74683172,-0.13314788
2025-09-30,2025三季报,2025-3,2025三季度,sale_net_interest_ratio,8.7075,6.9378,0.23340935,-0.32218922,0.08501454
2025-09-30,2025三季报,2025-3,2025三季度,per_undistributed_profits,2.4803,,0.23527068,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,53976127538.88,18908641944.6100,0.17225109,-0.06430717,0.07972790
2025-09-30,2025三季报,2025-3,2025三季度,per_capital_reserve,1.9276,,0.0045862,,
2025-09-30,2025三季报,2025-3,2025三季度,index_full_diluted_roe,12.6006,3.4244,0.27092642,-0.41351967,-0.00560444
2025-09-30,2025三季报,2025-3,2025三季度,calculate_parent_holder_net_profit_yoy_growth_ratio,39.183853,9.27963300,0.42203908,-0.87212393,-0.65990258
2025-09-30,2025三季报,2025-3,2025三季度,assets_debt_ratio,45.194,,0.0642271,,
2025-09-30,2025三季报,2025-3,2025三季度,index_deduct_holder_net_profit,4213518075.31,1256439137.1700,0.60924424,-0.25625722,0.32649407
2025-09-30,2025三季报,2025-3,2025三季度,index_weighted_avg_roe,12.86,3.5000,0.29506546,-0.37943262,0.02639296
2025-09-30,2025三季报,2025-3,2025三季度,pe_ttm,20.17,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pb,3.09,,,,
2025-06-30,2025中报,2025-2,2025二季度,index_per_operating_cash_flow_net,0.0211,0.4254,1.17805907,2.05218897,2.24933921
2025-06-30,2025中报,2025-2,2025二季度,deduct_net_profit_yoy_growth_ratio,76.9505,81.5818,3.31319959,0.14687169,11.88160803
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,2694780823.33,1656318016.4600,0.54636174,0.59497096,0.72567392
2025-06-30,2025中报,2025-2,2025二季度,calc_per_net_assets,5.8337,,0.10294563,,
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_ratio,2.3229,,0.26375061,,
2025-06-30,2025中报,2025-2,2025二季度,conservative_quick_ratio,0.6647,,0.25344145,,
2025-06-30,2025中报,2025-2,2025二季度,equity_ratio,0.9753,,-0.06607297,,
2025-06-30,2025中报,2025-2,2025二季度,current_ratio,1.5294,,0.11912776,,
2025-06-30,2025中报,2025-2,2025二季度,basic_eps,0.56,0.3417,0.55555556,0.59523810,0.72575758
2025-06-30,2025中报,2025-2,2025二季度,business_cycle,79.9535,,-0.19223631,,
2025-06-30,2025中报,2025-2,2025二季度,receive_accounts_turnover_days,2.4642,,1.33772887,,
2025-06-30,2025中报,2025-2,2025二季度,quick_ratio,0.6647,,0.25344145,,
2025-06-30,2025中报,2025-2,2025二季度,sale_gross_margin,18.6339,17.8940,0.12712767,-0.08891412,-0.01112444
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_days,77.4893,,-0.20870504,,
2025-06-30,2025中报,2025-2,2025二季度,calculate_operating_income_total_yoy_growth_ratio,22.903925,31.49205700,7.86344857,1.44546496,7.35212241
2025-06-30,2025中报,2025-2,2025二季度,sale_net_interest_ratio,9.6618,10.2356,0.2937254,0.15247596,0.33643212
2025-06-30,2025中报,2025-2,2025二季度,per_undistributed_profits,2.2773,,0.24982163,,
2025-06-30,2025中报,2025-2,2025二季度,operating_income_total,35067485594.27,20208172284.3200,0.22903925,0.35996677,0.31492057
2025-06-30,2025中报,2025-2,2025二季度,per_capital_reserve,1.9276,,0.0045862,,
2025-06-30,2025中报,2025-2,2025二季度,index_full_diluted_roe,9.5298,5.8389,0.4020391,0.57010326,0.59059086
2025-06-30,2025中报,2025-2,2025二季度,calculate_parent_holder_net_profit_yoy_growth_ratio,54.636174,72.56739200,0.97282475,1.22247073,3.25772326
2025-06-30,2025中报,2025-2,2025二季度,assets_debt_ratio,44.7828,,-0.0390452,,
2025-06-30,2025中报,2025-2,2025二季度,index_deduct_holder_net_profit,2957078938.14,1689346328.9200,0.76950529,0.33257307,0.81581762
2025-06-30,2025中报,2025-2,2025二季度,index_weighted_avg_roe,9.36,5.6400,0.43558282,0.51612903,0.59322034
2025-06-30,2025中报,2025-2,2025二季度,pe_ttm,19.19,,,,
2025-06-30,2025中报,2025-2,2025二季度,pb,2.46,,,,
2025-03-31,2025一季报,2025-1,2025一季度,index_per_operating_cash_flow_net,-0.4043,-0.4043,-2.82117117,-1.36094992,-2.82117117
2025-03-31,2025一季报,2025-1,2025一季度,deduct_net_profit_yoy_growth_ratio,71.1342,71.1342,0.95550412,25.20237218,0.95550412
2025-03-31,2025一季报,2025-1,2025一季度,parent_holder_net_profit,1038462806.87,1038462806.8700,0.32651675,0.39794289,0.32651675
2025-03-31,2025一季报,2025-1,2025一季度,calc_per_net_assets,5.8706,,0.06763417,,
2025-03-31,2025一季报,2025-1,2025一季度,inventory_turnover_ratio,0.9621,,0.0050141,,
2025-03-31,2025一季报,2025-1,2025一季度,conservative_quick_ratio,0.6463,,0.03823293,,
2025-03-31,2025一季报,2025-1,2025一季度,equity_ratio,0.9138,,0.03126058,,
2025-03-31,2025一季报,2025-1,2025一季度,current_ratio,1.5691,,0.12609445,,
2025-03-31,2025一季报,2025-1,2025一季度,basic_eps,0.21,0.2142,0.3125,0.39726027,0.32631579
2025-03-31,2025一季报,2025-1,2025一季度,business_cycle,94.0468,,-0.01211967,,
2025-03-31,2025一季报,2025-1,2025一季度,receive_accounts_turnover_days,0.5014,,-0.57730568,,
2025-03-31,2025一季报,2025-1,2025一季度,quick_ratio,0.647,,0.03935743,,
2025-03-31,2025一季报,2025-1,2025一季度,sale_gross_margin,19.6403,19.6403,0.33541167,0.31849490,0.33541167
2025-03-31,2025一季报,2025-1,2025一季度,inventory_turnover_days,93.5454,,-0.0049886,,
2025-03-31,2025一季报,2025-1,2025一季度,calculate_operating_income_total_yoy_growth_ratio,12.877738,12.87773800,10.37425195,-0.46800025,10.37425195
2025-03-31,2025一季报,2025-1,2025一季度,sale_net_interest_ratio,8.8814,8.8814,0.2257646,0.81850570,0.22576460
2025-03-31,2025一季报,2025-1,2025一季度,per_undistributed_profits,2.3236,,0.14683382,,
2025-03-31,2025一季报,2025-1,2025一季度,operating_income_total,14859313309.95,14859313309.9500,0.12877738,-0.23842521,0.12877738
2025-03-31,2025一季报,2025-1,2025一季度,per_capital_reserve,1.9276,,0.0045862,,
