report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-03-31,2026一季报,2026-1,2026一季度,index_per_operating_cash_flow_net,0.3320,0.3320,-0.09066009,0.03073580,-0.09066009
2026-03-31,2026一季报,2026-1,2026一季度,deduct_net_profit_yoy_growth_ratio,6.3815,6.3815,-0.94957763,1.20412896,-0.94957763
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,1707220076.0000,1707220076.0000,0.05775758,0.35982583,0.05775758
2026-03-31,2026一季报,2026-1,2026一季度,calc_per_net_assets,3.6739,,0.04345480,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_ratio,1.6161,,-0.07709440,,
2026-03-31,2026一季报,2026-1,2026一季度,conservative_quick_ratio,1.1006,,0.10936398,,
2026-03-31,2026一季报,2026-1,2026一季度,equity_ratio,1.6697,,0.03946959,,
2026-03-31,2026一季报,2026-1,2026一季度,current_ratio,1.4253,,0.11665622,,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,0.0500,0.0461,0.25000000,0.37202381,0.07459207
2026-03-31,2026一季报,2026-1,2026一季度,business_cycle,112.2400,,-0.00923327,,
2026-03-31,2026一季报,2026-1,2026一季度,receive_accounts_turnover_days,56.5504,,-0.08627122,,
2026-03-31,2026一季报,2026-1,2026一季度,quick_ratio,1.1149,,0.10979494,,
2026-03-31,2026一季报,2026-1,2026一季度,sale_gross_margin,15.5957,15.5957,-0.01136609,-0.19600676,-0.01136609
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,55.6896,,0.08353325,,
2026-03-31,2026一季报,2026-1,2026一季度,calculate_operating_income_total_yoy_growth_ratio,0.79513400,0.79513400,-0.92255582,1.09432321,-0.92255582
2026-03-31,2026一季报,2026-1,2026一季度,sale_net_interest_ratio,3.3511,3.3511,-0.12465063,1.69316081,-0.12465063
2026-03-31,2026一季报,2026-1,2026一季度,per_undistributed_profits,1.2130,,0.11345695,,
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,51001263370.0000,51001263370.0000,0.00795134,0.01916462,0.00795134
2026-03-31,2026一季报,2026-1,2026一季度,per_capital_reserve,1.3681,,-0.01284364,,
2026-03-31,2026一季报,2026-1,2026一季度,index_full_diluted_roe,1.2544,1.2619,0.03013879,0.34818376,0.03783206
2026-03-31,2026一季报,2026-1,2026一季度,calculate_parent_holder_net_profit_yoy_growth_ratio,5.77575800,5.77575800,-0.90983205,1.15341930,-0.90983205
2026-03-31,2026一季报,2026-1,2026一季度,assets_debt_ratio,51.9161,,0.02463897,,
2026-03-31,2026一季报,2026-1,2026一季度,index_deduct_holder_net_profit,1438134014.0000,1438134014.0000,0.06381504,0.36810964,0.06381504
2026-03-31,2026一季报,2026-1,2026一季度,index_weighted_avg_roe,1.2600,1.2600,0.04132231,0.35483871,0.04132231
2026-03-31,2026一季报,2026-1,2026一季度,pe_ttm,22.85,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pb,1.13,,,,
2025-12-31,2025年报,2025-4,2025四季度,index_per_operating_cash_flow_net,1.3050,0.3221,0.02909865,-0.14152452,-0.12591588
2025-12-31,2025年报,2025-4,2025四季度,deduct_net_profit_yoy_growth_ratio,10.2476,-31.2621,-0.98549734,-2.07231280,-1.40121125
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,5856966754.0000,1255469660.0000,0.10026166,-0.07318827,-0.37646881
2025-12-31,2025年报,2025-4,2025四季度,calc_per_net_assets,3.5944,,0.03373501,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_ratio,6.7605,,-0.04687720,,
2025-12-31,2025年报,2025-4,2025四季度,conservative_quick_ratio,1.0605,,0.06422479,,
2025-12-31,2025年报,2025-4,2025四季度,equity_ratio,1.7021,,0.00371506,,
2025-12-31,2025年报,2025-4,2025四季度,current_ratio,1.3993,,0.12483923,,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,0.1600,0.0336,0.14285714,-0.07182320,-0.37196262
2025-12-31,2025年报,2025-4,2025四季度,business_cycle,113.6329,,-0.00321930,,
2025-12-31,2025年报,2025-4,2025四季度,receive_accounts_turnover_days,60.3824,,-0.04527113,,
2025-12-31,2025年报,2025-4,2025四季度,quick_ratio,1.0701,,0.06807067,,
2025-12-31,2025年报,2025-4,2025四季度,sale_gross_margin,15.6352,19.3978,0.02846919,0.34365432,0.64144701
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,53.2505,,0.04918204,,
2025-12-31,2025年报,2025-4,2025四季度,calculate_operating_income_total_yoy_growth_ratio,3.13015300,-8.42988700,-0.77080000,-2.45118971,-1.61152657
2025-12-31,2025年报,2025-4,2025四季度,sale_net_interest_ratio,2.4573,1.2443,0.17596669,-0.51814274,-0.69202782
2025-12-31,2025年报,2025-4,2025四季度,per_undistributed_profits,1.1554,,0.10363932,,
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,204590222888.0000,50042223363.0000,0.03130153,-0.06058955,-0.08429887
2025-12-31,2025年报,2025-4,2025四季度,per_capital_reserve,1.3861,,-0.00050476,,
2025-12-31,2025年报,2025-4,2025四季度,index_full_diluted_roe,4.3553,0.9360,0.08765577,-0.07828656,-0.38417001
2025-12-31,2025年报,2025-4,2025四季度,calculate_parent_holder_net_profit_yoy_growth_ratio,10.02616600,-37.64688100,-0.90798730,-2.17407399,-2.17618447
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,52.4551,,0.00050354,,
2025-12-31,2025年报,2025-4,2025四季度,index_deduct_holder_net_profit,4230339525.0000,1051183309.0000,0.10247638,0.17199268,-0.31262122
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,4.3900,0.9300,0.08395062,-0.07920792,-0.38815789
2025-12-31,2025年报,2025-4,2025四季度,pe_ttm,22.85,,,,
2025-12-31,2025年报,2025-4,2025四季度,pb,1.13,,,,
2025-09-30,2025三季报,2025-3,2025三季度,index_per_operating_cash_flow_net,0.9829,0.3752,0.09259671,0.54657873,0.57118928
2025-09-30,2025三季报,2025-3,2025三季度,deduct_net_profit_yoy_growth_ratio,37.7533,29.1539,-0.85175792,4.43298046,-0.95528304
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,4601497094.0000,1354611315.0000,0.39027882,-0.17041913,0.32065169
2025-09-30,2025三季报,2025-3,2025三季度,calc_per_net_assets,3.5759,,0.03568222,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_ratio,5.1696,,0.04639300,,
2025-09-30,2025三季报,2025-3,2025三季度,conservative_quick_ratio,1.1003,,-0.06045598,,
2025-09-30,2025三季报,2025-3,2025三季度,equity_ratio,1.6879,,0.03178678,,
2025-09-30,2025三季报,2025-3,2025三季度,current_ratio,1.4362,,-0.01420825,,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,0.1200,0.0362,0.33333333,-0.16972477,0.33088235
2025-09-30,2025三季报,2025-3,2025三季度,business_cycle,114.2874,,-0.02412213,,
2025-09-30,2025三季报,2025-3,2025三季度,receive_accounts_turnover_days,62.0590,,-0.00643602,,
2025-09-30,2025三季报,2025-3,2025三季度,quick_ratio,1.1067,,-0.05948840,,
2025-09-30,2025三季报,2025-3,2025三季度,sale_gross_margin,14.4170,14.4366,-0.12568074,0.10706727,-0.17061541
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,52.2284,,-0.04433555,,
2025-09-30,2025三季报,2025-3,2025三季度,calculate_operating_income_total_yoy_growth_ratio,7.52547000,5.80894900,-0.44699098,-0.13249277,-0.32843177
2025-09-30,2025三季报,2025-3,2025三季度,sale_net_interest_ratio,2.8500,2.5823,1.11440018,0.19844990,6.80151057
2025-09-30,2025三季报,2025-3,2025三季度,per_undistributed_profits,1.1259,,0.12376485,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,154547999525.0000,53269817390.0000,0.07525470,0.05111696,0.05808949
2025-09-30,2025三季报,2025-3,2025三季度,per_capital_reserve,1.3822,,-0.00346071,,
2025-09-30,2025三季报,2025-3,2025三季度,index_full_diluted_roe,3.4394,1.0155,0.37191863,-0.17432312,0.30125577
