report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,457286687000.0,,24.9736953185,1.760525251452,
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,41643389000.0,,76.0215031402,-5.624601546248,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,1.62,,,,
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,47.5840616149,,,,
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,18.306539053746,,,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,79.56770862108911,,,,
2025-12-31,2025年报,2025-4,2025四季度,fcf_to_net_profit_ratio,1.0264881179579308,,,,
2025-12-31,2025年报,2025-4,2025四季度,pe_ttm,21.14,,,,
2025-12-31,2025年报,2025-4,2025四季度,pb,3.51,,,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,340370162000.0,,32.490690555,4.807850258291,
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,35099600000.0,,139.8747934986,18.594644111858,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,1.37,,,,
2025-09-30,2025三季报,2025-3,2025三季度,assets_debt_ratio,47.1795821943,,,,
2025-09-30,2025三季报,2025-3,2025三季度,index_weighted_avg_roe,15.455688073641,,,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,72.58891375788352,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pe_ttm,34.86,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pb,5.14,,,,
2025-06-30,2025中报,2025-2,2025二季度,operating_income_total,227249428000.0,,38.2340775688,6.738547123559,
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,22828726000.0,,145.9975325599,22.38919926872,
2025-06-30,2025中报,2025-2,2025二季度,basic_eps,0.9,,,,
2025-06-30,2025中报,2025-2,2025二季度,assets_debt_ratio,47.486735266,,,,
2025-06-30,2025中报,2025-2,2025二季度,index_weighted_avg_roe,10.348201204908,,,,
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_days,65.5244586968575,,,,
2025-06-30,2025中报,2025-2,2025二季度,fcf_to_net_profit_ratio,1.0061358658385053,,,,
2025-06-30,2025中报,2025-2,2025二季度,pe_ttm,46.44,,,,
2025-06-30,2025中报,2025-2,2025二季度,pb,5.89,,,,
2025-03-31,2025一季报,2025-1,2025一季度,operating_income_total,111293337000.0,,47.3950751099,9.780238850733,
2025-03-31,2025一季报,2025-1,2025一季度,parent_holder_net_profit,10924321000.0,,161.218595329,28.49870695591,
2025-03-31,2025一季报,2025-1,2025一季度,basic_eps,0.44,,,,
2025-03-31,2025一季报,2025-1,2025一季度,assets_debt_ratio,46.6956100121,,,,
2025-03-31,2025一季报,2025-1,2025一季度,index_weighted_avg_roe,5.102005636439,,,,
2025-03-31,2025一季报,2025-1,2025一季度,inventory_turnover_days,64.93030435060071,,,,
2025-03-31,2025一季报,2025-1,2025一季度,pe_ttm,49.91,,,,
2025-03-31,2025一季报,2025-1,2025一季度,pb,6.26,,,,
2024-12-31,2024年报,2024-4,2024四季度,operating_income_total,365906350000.0,,35.0356716979,10.832054162597,
2024-12-31,2024年报,2024-4,2024四季度,parent_holder_net_profit,23658126000.0,,35.3813550229,22.201284971331,
2024-12-31,2024年报,2024-4,2024四季度,basic_eps,0.95,,,,
2024-12-31,2024年报,2024-4,2024四季度,assets_debt_ratio,53.0689230273,,,,
2024-12-31,2024年报,2024-4,2024四季度,index_weighted_avg_roe,13.414173416805,,,,
2024-12-31,2024年报,2024-4,2024四季度,inventory_turnover_days,70.72354772876264,,,,
2024-12-31,2024年报,2024-4,2024四季度,fcf_to_net_profit_ratio,2.705048743083032,,,,
2024-12-31,2024年报,2024-4,2024四季度,pe_ttm,39.92,,,,
2024-12-31,2024年报,2024-4,2024四季度,pb,4.36,,,,
2024-09-30,2024三季报,2024-3,2024三季度,operating_income_total,256901191000.0,,29.9275771162,7.004808750464,
2024-09-30,2024三季报,2024-3,2024三季度,parent_holder_net_profit,14632467000.0,,14.7853785102,2.534464830032,
2024-09-30,2024三季报,2024-3,2024三季度,basic_eps,0.59,,,,
2024-09-30,2024三季报,2024-3,2024三季度,assets_debt_ratio,49.3298553751,,,,
2024-09-30,2024三季报,2024-3,2024三季度,index_weighted_avg_roe,8.576067583257,,,,
2024-09-30,2024三季报,2024-3,2024三季度,inventory_turnover_days,68.12128763735727,,,,
2024-09-30,2024三季报,2024-3,2024三季度,pe_ttm,26.47,,,,
2024-09-30,2024三季报,2024-3,2024三季度,pb,2.9,,,,
2024-06-30,2024中报,2024-2,2024二季度,operating_income_total,164394650000.0,,29.6160240013,7.50276405217,
2024-06-30,2024中报,2024-2,2024二季度,parent_holder_net_profit,9280063000.0,,17.8598199043,8.181943971359,
2024-06-30,2024中报,2024-2,2024二季度,basic_eps,0.37,,,,
2024-06-30,2024中报,2024-2,2024二季度,assets_debt_ratio,49.3838804409,,,,
2024-06-30,2024中报,2024-2,2024二季度,index_weighted_avg_roe,5.514537368694,,,,
2024-06-30,2024中报,2024-2,2024二季度,inventory_turnover_days,72.87472861891433,,,,
2024-06-30,2024中报,2024-2,2024二季度,fcf_to_net_profit_ratio,0.028304441467692624,,,,
2024-06-30,2024中报,2024-2,2024二季度,pe_ttm,21.39,,,,
2024-06-30,2024中报,2024-2,2024二季度,pb,2.23,,,,
2024-03-31,2024一季报,2024-1,2024一季度,operating_income_total,75506822000.0,,26.9510094417,5.915665815002,
2024-03-31,2024一季报,2024-1,2024一季度,parent_holder_net_profit,4182061000.0,,-0.5180502869,-0.124622514467,
2024-03-31,2024一季报,2024-1,2024一季度,basic_eps,0.17,,,,
2024-03-31,2024一季报,2024-1,2024一季度,assets_debt_ratio,48.7436128425,,,,
2024-03-31,2024一季报,2024-1,2024一季度,index_weighted_avg_roe,2.524395273016,,,,
2024-03-31,2024一季报,2024-1,2024一季度,inventory_turnover_days,74.70600280978415,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pe_ttm,19.33,,,,
2024-03-31,2024一季报,2024-1,2024一季度,pb,2.06,,,,
2023-12-31,2023年报,2023-4,2023四季度,operating_income_total,270970141000.0,,-3.2401602897,2.728215766612,
2023-12-31,2023年报,2023-4,2023四季度,parent_holder_net_profit,17475173000.0,,606.3444258962,9.913972333402,
2023-12-31,2023年报,2023-4,2023四季度,basic_eps,0.7,,,,
2023-12-31,2023年报,2023-4,2023四季度,assets_debt_ratio,49.3406120626,,,,
2023-12-31,2023年报,2023-4,2023四季度,index_weighted_avg_roe,11.360278761514,,,,
2023-12-31,2023年报,2023-4,2023四季度,inventory_turnover_days,69.4674848371079,,,,
2023-12-31,2023年报,2023-4,2023四季度,fcf_to_net_profit_ratio,4.00929879206346,,,,
2023-12-31,2023年报,2023-4,2023四季度,pe_ttm,22.58,,,,
2023-12-31,2023年报,2023-4,2023四季度,pb,2.25,,,,
2022-12-31,2022年报,2022-4,2022四季度,operating_income_total,280044016000.0,,-14.7011223218,-6.518570179908,
2022-12-31,2022年报,2022-4,2022四季度,parent_holder_net_profit,2474030000.0,,-87.2072551048,36.803968483491,
2022-12-31,2022年报,2022-4,2022四季度,basic_eps,0.1,,,,
