report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-03-31,2026一季报,2026-1,2026一季度,index_per_operating_cash_flow_net,4.9900,4.9900,0.32434513,-0.54287703,0.32434513
2026-03-31,2026一季报,2026-1,2026一季度,deduct_net_profit_yoy_growth_ratio,1.7746,1.7746,1.81850468,-0.52539381,1.81850468
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,37852000000.0000,37852000000.0000,0.01517996,0.03963306,0.01517996
2026-03-31,2026一季报,2026-1,2026一季度,calc_per_net_assets,44.9000,,0.06247042,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_ratio,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,conservative_quick_ratio,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,equity_ratio,9.5093,,0.05096041,,
2026-03-31,2026一季报,2026-1,2026一季度,current_ratio,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,1.4900,1.5009,0.00675676,0.03962042,0.01521916
2026-03-31,2026一季报,2026-1,2026一季度,business_cycle,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,receive_accounts_turnover_days,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,quick_ratio,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,sale_gross_margin,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,,,,,
2026-03-31,2026一季报,2026-1,2026一季度,calculate_operating_income_total_yoy_growth_ratio,3.80771600,3.80771600,2.23425134,1.42171360,2.23425134
2026-03-31,2026一季报,2026-1,2026一季度,sale_net_interest_ratio,43.7635,43.7635,-0.02294206,0.02997176,-0.02294206
2026-03-31,2026一季报,2026-1,2026一季度,per_undistributed_profits,28.4327,,0.06835629,,
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,86940000000.0000,86940000000.0000,0.03807716,0.00961538,0.03807716
2026-03-31,2026一季报,2026-1,2026一季度,per_capital_reserve,2.5923,,-0.00077092,,
2026-03-31,2026一季报,2026-1,2026一季度,index_full_diluted_roe,2.9518,2.9627,-0.01343583,0.03348798,-0.01780268
2026-03-31,2026一季报,2026-1,2026一季度,calculate_parent_holder_net_profit_yoy_growth_ratio,1.51799600,1.51799600,1.73072972,-0.55537370,1.73072972
2026-03-31,2026一季报,2026-1,2026一季度,assets_debt_ratio,90.4294,,0.00485038,,
2026-03-31,2026一季报,2026-1,2026一季度,index_deduct_holder_net_profit,37795000000.0000,37795000000.0000,0.01774558,0.04069719,0.01774558
2026-03-31,2026一季报,2026-1,2026一季度,index_weighted_avg_roe,3.3700,3.3700,-0.04600142,0.13468013,-0.04600142
2026-03-31,2026一季报,2026-1,2026一季度,pe_ttm,6.63,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pb,0.91,,,,
