report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-03-31,2026一季报,2026-1,2026一季度,index_per_operating_cash_flow_net,0.4734,0.4734,1.28254581,3.22678571,1.28254581
2026-03-31,2026一季报,2026-1,2026一季度,deduct_net_profit_yoy_growth_ratio,11.5882,11.5882,-0.06382188,1.06754924,-0.06382188
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,246333622.73,246333622.7300,0.13613328,1.26888333,0.13613328
2026-03-31,2026一季报,2026-1,2026一季度,calc_per_net_assets,6.4341,,0.10188039,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_ratio,0.5924,,0.02349689,,
2026-03-31,2026一季报,2026-1,2026一季度,conservative_quick_ratio,0.6841,,0.14608812,,
2026-03-31,2026一季报,2026-1,2026一季度,equity_ratio,0.6249,,0.00112144,,
2026-03-31,2026一季报,2026-1,2026一季度,current_ratio,1.1712,,0.16052319,,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,0.435,0.4344,0.13577023,1.26959248,0.13628041
2026-03-31,2026一季报,2026-1,2026一季度,business_cycle,191.1435,,0.01306992,,
2026-03-31,2026一季报,2026-1,2026一季度,receive_accounts_turnover_days,39.2191,,0.18188914,,
2026-03-31,2026一季报,2026-1,2026一季度,quick_ratio,0.7582,,0.16753927,,
2026-03-31,2026一季报,2026-1,2026一季度,sale_gross_margin,78.1878,78.1878,0.01850397,0.02441421,0.01850397
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,151.9244,,-0.02295714,,
2026-03-31,2026一季报,2026-1,2026一季度,calculate_operating_income_total_yoy_growth_ratio,10.31771,10.31771000,-0.16038265,0.08836890,-0.16038265
2026-03-31,2026一季报,2026-1,2026一季度,sale_net_interest_ratio,21.9738,21.9738,0.03490371,0.63834419,0.03490371
2026-03-31,2026一季报,2026-1,2026一季度,per_undistributed_profits,4.2294,,0.13121857,,
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,1126074496.05,1126074496.0500,0.1031771,0.38674089,0.10317710
