report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,196458000000.0,,9.1299952228,2.186318615101,
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,58093000000.0,,21.4801028837,4.568541464673,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,6.431,,,,
2026-03-31,2026一季报,2026-1,2026一季度,assets_debt_ratio,40.9362919776,,,,
2026-03-31,2026一季报,2026-1,2026一季度,index_weighted_avg_roe,5.091848379615,,,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,0.587372201941474,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pe_ttm,18.08,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pb,3.52,,,,
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,751766000000.0,,13.8596031545,3.004078970625,
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,224842000000.0,,15.8543434687,3.183023872679,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,24.749,,,,
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,39.1332260251,,,,
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,21.134746439818,,,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,0.5987732894253174,,,,
2025-12-31,2025年报,2025-4,2025四季度,fcf_to_net_profit_ratio,1.691650136540326,,,,
2025-12-31,2025年报,2025-4,2025四季度,pe_ttm,23.07,,,,
2025-12-31,2025年报,2025-4,2025四季度,pb,4.29,,,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,557395000000.0,,14.26454098,3.646304488295,
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,166582000000.0,,16.6957386742,4.760989024197,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,18.316,,,,
2025-09-30,2025三季报,2025-3,2025三季度,assets_debt_ratio,39.2016580555,,,,
2025-09-30,2025三季报,2025-3,2025三季度,index_weighted_avg_roe,15.527575143501,,,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,0.5530953428962817,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pe_ttm,25.87,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pb,4.83,,,,
2025-06-30,2025中报,2025-2,2025二季度,operating_income_total,364526000000.0,,13.6948019138,3.43533427931,
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,103449000000.0,,15.5609423698,3.998900027499,
2025-06-30,2025中报,2025-2,2025二季度,basic_eps,11.367,,,,
2025-06-30,2025中报,2025-2,2025二季度,assets_debt_ratio,40.2551519637,,,,
2025-06-30,2025中报,2025-2,2025二季度,index_weighted_avg_roe,9.908020689718,,,,
2025-06-30,2025中报,2025-2,2025二季度,inventory_turnover_days,0.49057351276568983,,,,
2025-06-30,2025中报,2025-2,2025二季度,fcf_to_net_profit_ratio,0.9068623186304362,,,,
2025-06-30,2025中报,2025-2,2025二季度,pe_ttm,21.72,,,,
2025-06-30,2025中报,2025-2,2025二季度,pb,4.18,,,,
2025-03-31,2025一季报,2025-1,2025一季度,operating_income_total,180022000000.0,,12.865750058,3.10803217535,
2025-03-31,2025一季报,2025-1,2025一季度,parent_holder_net_profit,47821000000.0,,14.1612356466,3.056581801693,
2025-03-31,2025一季报,2025-1,2025一季度,basic_eps,5.252,,,,
2025-03-31,2025一季报,2025-1,2025一季度,assets_debt_ratio,41.4612048293,,,,
2025-03-31,2025一季报,2025-1,2025一季度,index_weighted_avg_roe,4.748853278199,,,,
2025-03-31,2025一季报,2025-1,2025一季度,inventory_turnover_days,0.49057576481535037,,,,
2025-03-31,2025一季报,2025-1,2025一季度,pe_ttm,22.37,,,,
2025-03-31,2025一季报,2025-1,2025一季度,pb,4.46,,,,
