report_date,report_name,report_period,quarter_name,metric_name,value,single,yoy,mom,single_yoy
2026-06-30,2026中报,2026-2,2026二季度,index_per_operating_cash_flow_net,56.5489,35.0600,4.41474601,0.63154000,9.21889300
2026-06-30,2026中报,2026-2,2026二季度,deduct_net_profit_yoy_growth_ratio,-2.0402,-7.0988,-1.22852726,-5.88595223,-2.35690802
2026-06-30,2026中报,2026-2,2026二季度,parent_holder_net_profit,44516880421.8600,17274367535.4100,-0.01951595,-0.36590403,-0.06904267
2026-06-30,2026中报,2026-2,2026二季度,calc_per_net_assets,200.9898,,0.05797859,,
2026-06-30,2026中报,2026-2,2026二季度,inventory_turnover_ratio,0.1544,,0.08503162,,
2026-06-30,2026中报,2026-2,2026二季度,conservative_quick_ratio,1.1484,,-0.09802074,,
2026-06-30,2026中报,2026-2,2026二季度,equity_ratio,0.1869,,0.03431101,,
2026-06-30,2026中报,2026-2,2026二季度,current_ratio,5.5895,,-0.02446899,,
2026-06-30,2026中报,2026-2,2026二季度,basic_eps,35.5700,13.8186,-0.01686014,-0.36479349,-0.06449036
2026-06-30,2026中报,2026-2,2026二季度,business_cycle,1165.8063,,-0.07840707,,
2026-06-30,2026中报,2026-2,2026二季度,receive_accounts_turnover_days,0.0032,,-0.94415358,,
2026-06-30,2026中报,2026-2,2026二季度,quick_ratio,4.2348,,-0.04356664,,
2026-06-30,2026中报,2026-2,2026二季度,sale_gross_margin,89.5552,89.2563,-0.01910310,-0.00560277,-0.01286667
2026-06-30,2026中报,2026-2,2026二季度,inventory_turnover_days,1165.8031,,-0.07836785,,
2026-06-30,2026中报,2026-2,2026二季度,calculate_operating_income_total_yoy_growth_ratio,1.30009900,-5.23363400,-0.85803940,-1.82601429,-1.72085326
2026-06-30,2026中报,2026-2,2026二季度,sale_net_interest_ratio,50.7516,48.5935,-0.03448171,-0.06952675,-0.01891566
2026-06-30,2026中报,2026-2,2026二季度,per_undistributed_profits,159.7361,,0.04700700,,
2026-06-30,2026中报,2026-2,2026二季度,operating_income_total,92278072083.2100,37575159697.9800,0.01300099,-0.31310495,-0.05233634
2026-06-30,2026中报,2026-2,2026二季度,per_capital_reserve,0.0013,,-0.99881224,,
2026-06-30,2026中报,2026-2,2026二季度,index_full_diluted_roe,17.7179,6.6167,-0.06871413,-0.37393435,-0.11386251
2026-06-30,2026中报,2026-2,2026二季度,calculate_parent_holder_net_profit_yoy_growth_ratio,-1.95159500,-6.90426700,-1.21949078,-5.69225400,-2.31574357
2026-06-30,2026中报,2026-2,2026二季度,assets_debt_ratio,15.1931,,0.02969861,,
2026-06-30,2026中报,2026-2,2026二季度,index_deduct_holder_net_profit,44464207646.0100,17224222451.6000,-0.02040174,-0.36768606,-0.07098790
2026-06-30,2026中报,2026-2,2026二季度,index_weighted_avg_roe,16.7500,6.1800,-0.06372275,-0.41532640,-0.11334290
2026-06-30,2026中报,2026-2,2026二季度,fcf_to_net_profit_ratio,1.5692610691668312,,,,
2026-06-30,2026中报,2026-2,2026二季度,pe_ttm,18.76,,,,
2026-06-30,2026中报,2026-2,2026二季度,pb,5.73,,,,
2026-03-31,2026一季报,2026-1,2026一季度,index_per_operating_cash_flow_net,21.4889,21.4889,2.06432707,0.15367353,2.06432707
2026-03-31,2026一季报,2026-1,2026一季度,deduct_net_profit_yoy_growth_ratio,1.4529,1.4529,-0.87512785,1.04712770,-0.87512785
2026-03-31,2026一季报,2026-1,2026一季度,parent_holder_net_profit,27242512886.4500,27242512886.4500,0.01471418,0.53970607,0.01471418
2026-03-31,2026一季报,2026-1,2026一季度,calc_per_net_assets,216.3223,,0.05181106,,
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_ratio,0.0904,,0.21505376,,
2026-03-31,2026一季报,2026-1,2026一季度,conservative_quick_ratio,1.2711,,0.02524601,,
2026-03-31,2026一季报,2026-1,2026一季度,equity_ratio,0.1432,,-0.16257310,,
2026-03-31,2026一季报,2026-1,2026一季度,current_ratio,7.0607,,0.16227428,,
2026-03-31,2026一季报,2026-1,2026一季度,basic_eps,21.7600,21.7545,0.01777362,0.53970557,0.01789725
2026-03-31,2026一季报,2026-1,2026一季度,business_cycle,995.6044,,-0.17698770,,
2026-03-31,2026一季报,2026-1,2026一季度,receive_accounts_turnover_days,0.0292,,-0.03947368,,
2026-03-31,2026一季报,2026-1,2026一季度,quick_ratio,5.4299,,0.13487021,,
2026-03-31,2026一季报,2026-1,2026一季度,sale_gross_margin,89.7592,89.7592,-0.02407647,-0.01165304,-0.02407647
2026-03-31,2026一季报,2026-1,2026一季度,inventory_turnover_days,995.5752,,-0.17699115,,
2026-03-31,2026一季报,2026-1,2026一季度,calculate_operating_income_total_yoy_growth_ratio,6.33600900,6.33600900,-0.40603994,1.32748944,-0.40603994
2026-03-31,2026一季报,2026-1,2026一季度,sale_net_interest_ratio,52.2245,52.2245,-0.04855209,0.14550775,-0.04855209
2026-03-31,2026一季报,2026-1,2026一季度,per_undistributed_profits,175.0003,,0.04865637,,
2026-03-31,2026一季报,2026-1,2026一季度,operating_income_total,54702912385.2300,54702912385.2300,0.06336009,0.32934477,0.06336009
2026-03-31,2026一季报,2026-1,2026一季度,per_capital_reserve,0.0013,,-0.99881224,,
2026-03-31,2026一季报,2026-1,2026一季度,index_full_diluted_roe,10.0565,10.5687,-0.03224720,0.49842625,-0.03265754
2026-03-31,2026一季报,2026-1,2026一季度,calculate_parent_holder_net_profit_yoy_growth_ratio,1.47141800,1.47141800,-0.87272695,1.04849301,-0.87272695
2026-03-31,2026一季报,2026-1,2026一季度,assets_debt_ratio,12.1227,,-0.14284805,,
2026-03-31,2026一季报,2026-1,2026一季度,index_deduct_holder_net_profit,27239985194.4100,27239985194.4100,0.01452898,0.54662874,0.01452898
2026-03-31,2026一季报,2026-1,2026一季度,index_weighted_avg_roe,10.5700,10.5700,-0.03205128,0.33967047,-0.03205128
2026-03-31,2026一季报,2026-1,2026一季度,fcf_to_net_profit_ratio,0.9655900611989339,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pe_ttm,19.58,,,,
2026-03-31,2026一季报,2026-1,2026一季度,pb,6.86,,,,
2025-12-31,2025年报,2025-4,2025四季度,index_per_operating_cash_flow_net,49.1285,18.6265,-0.33254762,-0.07139118,-0.51295883
2025-12-31,2025年报,2025-4,2025四季度,deduct_net_profit_yoy_growth_ratio,-4.5776,-30.8290,-1.29785600,-33.40042039,-2.91837166
2025-12-31,2025年报,2025-4,2025四季度,parent_holder_net_profit,82320067101.6800,17693320389.5000,-0.04532255,-0.07961305,-0.30342888
2025-12-31,2025年报,2025-4,2025四季度,calc_per_net_assets,195.3554,,0.05276165,,
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_ratio,0.2573,,-0.05991962,,
2025-12-31,2025年报,2025-4,2025四季度,conservative_quick_ratio,1.0427,,-0.04304332,,
2025-12-31,2025年报,2025-4,2025四季度,equity_ratio,0.2039,,-0.16502867,,
2025-12-31,2025年报,2025-4,2025四季度,current_ratio,5.0900,,0.14276734,,
2025-12-31,2025年报,2025-4,2025四季度,basic_eps,65.6600,14.1290,-0.04341492,-0.07960993,-0.30124331
2025-12-31,2025年报,2025-4,2025四季度,business_cycle,1399.1680,,0.06368876,,
2025-12-31,2025年报,2025-4,2025四季度,receive_accounts_turnover_days,0.0230,,-0.72488038,,
2025-12-31,2025年报,2025-4,2025四季度,quick_ratio,3.3090,,-0.04579272,,
2025-12-31,2025年报,2025-4,2025四季度,sale_gross_margin,91.1796,90.8175,-0.00817568,-0.00506465,-0.02236080
2025-12-31,2025年报,2025-4,2025四季度,inventory_turnover_days,1399.1450,,0.06373888,,
2025-12-31,2025年报,2025-4,2025四季度,calculate_operating_income_total_yoy_growth_ratio,-1.20009700,-19.34721600,-1.07661507,-56.31790499,-2.51521376
2025-12-31,2025年报,2025-4,2025四季度,sale_net_interest_ratio,50.5279,45.5907,-0.03339174,-0.10558418,-0.13123173
2025-12-31,2025年报,2025-4,2025四季度,per_undistributed_profits,153.2458,,0.05317421,,
2025-12-31,2025年报,2025-4,2025四季度,operating_income_total,172054171890.9100,41150282256.0300,-0.01200097,0.03366367,-0.19347216
2025-12-31,2025年报,2025-4,2025四季度,per_capital_reserve,0.0013,,-0.99881224,,
2025-12-31,2025年报,2025-4,2025四季度,index_full_diluted_roe,33.6498,7.0532,-0.09032467,-0.09061372,-0.34632067
2025-12-31,2025年报,2025-4,2025四季度,calculate_parent_holder_net_profit_yoy_growth_ratio,-4.53225500,-30.34288800,-1.29468563,-64.20750252,-2.87208335
2025-12-31,2025年报,2025-4,2025四季度,assets_debt_ratio,16.4154,,-0.13806393,,
2025-12-31,2025年报,2025-4,2025四季度,index_deduct_holder_net_profit,82293107655.2500,17612491224.0500,-0.04577640,-0.08698007,-0.30829046
2025-12-31,2025年报,2025-4,2025四季度,index_weighted_avg_roe,32.5300,7.8900,-0.09689062,0.16888889,-0.20543807
2025-12-31,2025年报,2025-4,2025四季度,fcf_to_net_profit_ratio,0.7093605742669309,,,,
2025-12-31,2025年报,2025-4,2025四季度,pe_ttm,19.49,,,,
2025-12-31,2025年报,2025-4,2025四季度,pb,6.82,,,,
2025-09-30,2025三季报,2025-3,2025三季度,index_per_operating_cash_flow_net,30.5020,20.0585,-0.13743079,4.84642514,2.23060445
2025-09-30,2025三季报,2025-3,2025三季度,deduct_net_profit_yoy_growth_ratio,6.4200,0.9515,-0.57418585,-0.81812447,-0.92835900
2025-09-30,2025三季报,2025-3,2025三季度,parent_holder_net_profit,64626746712.1800,19223784414.0800,0.06245845,0.03601610,0.00480052
2025-09-30,2025三季报,2025-3,2025三季度,calc_per_net_assets,205.2831,,0.08483781,,
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_ratio,0.2030,,-0.06062008,,
2025-09-30,2025三季报,2025-3,2025三季度,conservative_quick_ratio,1.4720,,-0.07328129,,
2025-09-30,2025三季报,2025-3,2025三季度,equity_ratio,0.1518,,-0.07664234,,
2025-09-30,2025三季报,2025-3,2025三季度,current_ratio,6.6193,,0.07510273,,
2025-09-30,2025三季报,2025-3,2025三季度,basic_eps,51.5300,15.3511,0.06422966,0.03925883,0.00795141
2025-09-30,2025三季报,2025-3,2025三季度,business_cycle,1330.0961,,0.06450234,,
2025-09-30,2025三季报,2025-3,2025三季度,receive_accounts_turnover_days,0.0468,,-0.40609137,,
2025-09-30,2025三季报,2025-3,2025三季度,quick_ratio,5.0555,,0.03047289,,
2025-09-30,2025三季报,2025-3,2025三季度,sale_gross_margin,91.2934,91.2798,-0.00260020,0.00951231,0.00253930
2025-09-30,2025三季报,2025-3,2025三季度,inventory_turnover_days,1330.0493,,0.06453202,,
2025-09-30,2025三季报,2025-3,2025三季度,calculate_operating_income_total_yoy_growth_ratio,6.32000200,0.34974600,-0.62620874,-0.95182782,-0.97752754
2025-09-30,2025三季报,2025-3,2025三季度,sale_net_interest_ratio,52.0801,50.9726,-0.00208091,0.02911747,-0.00272734
2025-09-30,2025三季报,2025-3,2025三季度,per_undistributed_profits,168.3942,,0.09659127,,
2025-09-30,2025三季报,2025-3,2025三季度,operating_income_total,130903889634.8800,39810127080.9100,0.06320002,0.00403061,0.00349746
2025-09-30,2025三季报,2025-3,2025三季度,per_capital_reserve,1.0980,,0.00319781,,
2025-09-30,2025三季报,2025-3,2025三季度,index_full_diluted_roe,25.1398,7.7560,-0.01755442,0.03871754,-0.07512521
2025-09-30,2025三季报,2025-3,2025三季度,calculate_parent_holder_net_profit_yoy_growth_ratio,6.24584500,0.48005200,-0.58465258,-0.90851667,-0.96372827
2025-09-30,2025三季报,2025-3,2025三季度,assets_debt_ratio,12.8088,,-0.06014602,,
2025-09-30,2025三季报,2025-3,2025三季度,index_deduct_holder_net_profit,64680616431.2000,19290368807.3800,0.06419977,0.04045254,0.00951539
2025-09-30,2025三季报,2025-3,2025三季度,index_weighted_avg_roe,24.6400,6.7500,-0.05557685,-0.03156385,-0.20212766
2025-09-30,2025三季报,2025-3,2025三季度,fcf_to_net_profit_ratio,0.5557132567004399,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pe_ttm,20.04,,,,
2025-09-30,2025三季报,2025-3,2025三季度,pb,7.55,,,,
2025-06-30,2025中报,2025-2,2025二季度,index_per_operating_cash_flow_net,10.4435,3.4309,-0.64176806,-0.51075207,-0.84290175
2025-06-30,2025中报,2025-2,2025二季度,deduct_net_profit_yoy_growth_ratio,8.9276,5.2316,-0.43920349,-0.55036055,-0.67604387
2025-06-30,2025中报,2025-2,2025二季度,parent_holder_net_profit,45402962298.1000,18555488059.3400,0.08891467,-0.30885535,0.05247426
